bclist
Biochemistry reactions objects:
uuid	modDate	locked	id	name	abbreviation	cksum	equation	deltaG	deltaGErr	reversibility	thermoReversibility	defaultProtons	compartment_uuid	defaultTransproton
004658D8-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13395	sirohydrochlorin dehydrogenase	SHCHD	''	cpd00006 + cpd01620 <=> cpd00005 + cpd00067 + cpd03426	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
004880D6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13396	sphinganine 1-phosphate endoplasmic reticular transport	SPH1Pter	''	cpd00824 <=> cpd00824[r]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00496708-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13397	spermidine excretion (cytosol to extracellular)	SPMDtex2	''	cpd00264 <=> cpd00264[e]		2	=	<	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
004A6CE8-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13398	spermine transport via proton antiport irreversible	SPRMt2i	''	cpd00067 + cpd00558[e] <=> cpd00067[e] + cpd00558		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
004C20D8-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13399	Squalene epoxidase, endoplasmic reticular (NAD)	SQLErx	''	cpd00004 + cpd00007 + cpd00067 + cpd00559 <=> cpd00001 + cpd00003 + cpd00776	-98.7167	2.45486	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
004F085C-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13400	4-hydroxycinnamate formation	T4HCINNMFM	''	cpd02305 <=> cpd00001 + cpd00604	-2.657	0.874306	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00505C8E-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13401	Triacylglycerol lipase, yeast-specific	TAGL_SC	''	cpd00001 + (0.01) cpd11677 <=> (0.27) cpd00214 + (0.05) cpd01080 + (0.02) cpd01107 + (0.06) cpd01741 + (0.1) cpd03847 + (0.01) cpd15192 + (0.17) cpd15237 + (0.24) cpd15269 + (0.09) cpd16888	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
005499C0-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13402	taurine transport	TAURt	''	cpd00210 <=> cpd00210[e]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00558E66-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13403	Taurcholate via ABC system (vacuolar)	TCHOLAabcv	''	cpd00001[v] + cpd00002[v] + cpd03047 <=> cpd00008[v] + cpd00009[v] + cpd00067[v] + cpd03047[v]	-6.817	0.717554	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
005C1916-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13406	oxidized thioredoxin peroxisomal transport via diffusion	TRDOXtp	''	cpd11420 <=> cpd11420[x]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
005D2F2C-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13407	reduced thioredoxin peroxisomal transport via diffusion	TRDRDtp	''	cpd11421 <=> cpd11421[x]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
005E46E6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13409	fatty acid intracellular transport	TTCCOAtx	''	cpd15297 <=> cpd15297[x]		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
005F2034-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13410	L-tyrosine N-formyltransferase	TYRNFT	''	cpd00069 + cpd00201 <=> cpd00067 + cpd00087 + cpd16878	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00614576-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13411	L-tyrosine transport in via proton antiport (vacuolar)	TYRt6	''	cpd00067[v] + cpd00069 <=> cpd00067 + cpd00069[v]		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00631F7C-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13412	L-tyrosine transport out via proton symport, vacuolar	TYRt7	''	cpd00067[v] + cpd00069[v] <=> cpd00067 + cpd00069		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00650D50-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13413	UDPgalactose transport (Golgi apparatus)	UDPGALt2g	''	cpd00043 <=> cpd00043[g]		2	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00661C86-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13414	UTP diphosphohydrolase	UTPH1	''	(2) cpd00001 + cpd00062 <=> (2) cpd00009 + (2) cpd00067 + cpd00091	-13.634	1.43511	=	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00686FC2-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13415	UTP/UMP antiport	UTPtm	''	cpd00062 + (2) cpd00067 + cpd00091[m] <=> cpd00062[m] + (2) cpd00067[m] + cpd00091		2	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
006B0688-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13416	Acyl-CoA:zymosterol acyltransferase, yeast-specific	ZYMSTAT_SC	''	(0.02) cpd00134 + (0.03) cpd00327 + (0.015) cpd01695 + (0.01) cpd03221 + (0.655) cpd15238 + (0.01) cpd15241 + (0.27) cpd15274 <=> cpd00010 + (0.01) cpd16896	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
006E4294-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13417	zymosterol ester hydrolase, yeast-specific	ZYMSTESTH_SCe	''	cpd00001 + (0.01) cpd16896 <=> (0.02) cpd00214 + (0.03) cpd01080 + (0.01) cpd03221 + (0.015) cpd03847 + (0.655) cpd15237 + (0.01) cpd15240 + (0.27) cpd15269	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0071B6C2-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13419	3-hydroxy-2-methylbutyryl-CoA-dehydrogenase	3H2MBCOAD	''	cpd00003 + cpd16897 <=> cpd00004 + cpd00067 + cpd02124	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0073C502-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13420	3-Hydroxybutyryl-CoA-hydratase	3HBUTCOAH	''	cpd00001 + cpd00650 <=> cpd16898	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00750778-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13421	3-Hydroxybutyryl-CoA-reductase	3HBUTCOAR	''	cpd00003 + cpd16898 <=> cpd00004 + cpd00067 + cpd00279	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00772BB6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13422	3-Hydroxyisobutyrate-dehydrogenase	3HIBUTD	''	cpd00003 + cpd00876 <=> cpd00004 + cpd00067 + cpd16975	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
007948CE-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13423	Acyl-CoA-Carboxylase	ACCC	''	cpd00011 + cpd15241 <=> cpd00067 + cpd15937	3.09	0.5417	<	<	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
007ADAD6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13424	acotinase	ACN	''	cpd00001 + cpd16959 <=> cpd02799	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
007C28BE-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13425	1-hexadecanoyl-sn-glycerol-3-phosphate-O-acyltransferase	AGPAT160190	''	cpd15327 + cpd16000 <=> cpd11493 + cpd16969	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
007DBC2E-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13426	1-hexadecanoyl-sn-glycerol-3-phosphate-O-acyltransferase	AGPAT190	''	cpd15912 + cpd16000 <=> cpd11493 + cpd16970	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
007F4468-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13427	Butyrl-Coa-acetyl-Coa-transferase	BCOA	''	cpd00022 + cpd00211 <=> cpd00029 + cpd16910	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
008119FA-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13428	biotin-synthase--ala-L-producing	BTS2	''	(2) cpd00017 + cpd00084 + cpd01311 <=> cpd00035 + (2) cpd00060 + cpd00104 + (2) cpd00438	-27.816	4.83017	>	>	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00845BF6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13429	Butyryl-CoA-hydratase	BUTCOAH	''	cpd00003 + cpd16910 <=> cpd00004 + cpd00067 + cpd00650	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00869F60-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13430	CDP-Diacylglycerol-pyrophostatase--C160--C190	CDAPPA160190	''	cpd00001 + cpd15935 <=> cpd00046 + cpd16969	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00887484-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13431	CDP-Diacylglycerol-pyrophostatase--C190	CDAPPA190	''	cpd00001 + cpd15936 <=> cpd00046 + cpd16970	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
008A1B54-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13432	Cis-double-bond-1-for-alpha-meroacid	CDB1AMER	''	cpd00005 + (2) cpd00067 + cpd11492 + cpd16909 <=> cpd00001 + cpd00006 + cpd00011 + cpd11493 + cpd16926	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
008DB61A-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13433	Cis-double-bond-1-for-methoxy-meroacid-1	CDB1MMER1	''	cpd00005 + (2) cpd00067 + cpd11492 + cpd15930 <=> cpd00001 + cpd00006 + cpd00011 + cpd11493 + cpd16911	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
009153F6-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13434	Cis-double-bond-2-for-alpha-meroacid	CDB2AMER	''	cpd00005 + (2) cpd00067 + cpd11492 + cpd16925 <=> cpd00001 + cpd00006 + cpd00011 + cpd11493 + cpd16923	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
0094DE40-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13435	Cis-double-bond-2-for-keto-meroacid-1	CDB2KMER1	''	cpd00005 + (2) cpd00067 + cpd11492 + cpd16919 <=> cpd00001 + cpd00006 + cpd00011 + cpd11493 + cpd16916	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00987A00-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13436	Cis-double-bond-2-for-keto-meroacid-2	CDB2KMER2	''	cpd00005 + (2) cpd00067 + cpd11492 + cpd16922 <=> cpd00001 + cpd00006 + cpd00011 + cpd11493 + cpd16920	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
009C1F52-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13437	Cis-double-bond-2-for-methoxy-meroacid-1	CDB2MMER1	''	cpd00005 + (2) cpd00067 + cpd11492 + cpd16915 <=> cpd00001 + cpd00006 + cpd00011 + cpd11493 + cpd16912	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
009F902E-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13438	CDP-diacylglycerol-inositon-3-phosphatidyltransferase	CDPPT160	''	cpd00121 + cpd15419 <=> cpd00046 + cpd16974	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00A14040-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13439	carboxymycobactin-Fe3-loading	CMCBTFL	''	cpd10516[e] + cpd16945 <=> cpd16948	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00A32FA4-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13440	carboxymycobactin-Fe3-unloading	CMCBTFU	''	cpd16948 <=> cpd10516 + cpd16945	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00A45686-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13441	Cyclopropylation-1-for-alpha-meroacid-1	CY1AMER1	''	(2) cpd00017 + cpd16924 <=> (2) cpd00019 + (2) cpd00067 + cpd16905	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
00A64928-5E60-11E1-9EC2-C7374BC191FA	2012-02-23 20:50:21	0	rxn13442	Cyclopropylation-1-for-alpha-meroacid-3	CY1AMER3	''	cpd00017 + cpd16924 <=> cpd00019 + cpd00067 + cpd16907	10000000	10000000	=	=	0	61898328-5E5F-11E1-9EC2-C7374BC191FA	0
