REACTION	ROLE	SUBSYSTEM	SOURCE	COMPLEX	MASTER
rxn01387	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	NONE	Hope|MATT FILE|CHRIS FILE	74	1
rxn00124	Pyridoxal kinase (EC 2.7.1.35)	NONE	Hope|MATT FILE	100034	1
rxn01506	N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9)	NONE	Hope|MATT FILE	100035	1
rxn08823	Lysophospholipase L2 (EC 3.1.1.5)	NONE	CHRIS FILE	1851	1
rxn08823	Lysophospholipase (EC 3.1.1.5)	NONE	CHRIS FILE	1850	1
rxn07296	Thiazole biosynthesis protein ThiG	NONE	Hope	100036	0
rxn07296	Thiazole biosynthesis protein ThiH	NONE	Hope	100037	0
rxn05168	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	NONE	CHRIS FILE	3015	1
rxn05168	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	NONE	CHRIS FILE	3013	1
rxn05168	Branched-chain amino acid transport system permease protein LivM (TC 3.A.1.4.1)	NONE	CHRIS FILE	3017	1
rxn05168	Branched-chain amino acid ABC transporter, amino acid-binding protein (TC 3.A.1.4.1)	NONE	CHRIS FILE	3016	1
rxn05168	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	NONE	CHRIS FILE	3014	1
rxn00744	Putative dihydroxyacetone kinase (EC 2.7.1.29), dihydroxyacetone binding subunit	NONE	Hope|MATT FILE	100038	1
rxn00744	Putative dihydroxyacetone kinase (EC 2.7.1.29), ADP-binding subunit	NONE	Hope|MATT FILE	100039	1
rxn00744	Dihydroxyacetone kinase, ATP-dependent (EC 2.7.1.29)	NONE	Hope|MATT FILE	100040	1
rxn10824	Ornithine transporter	NONE	CHRIS FILE	1665	1
rxn00433	Sarcosine oxidase delta subunit	NONE	CHRIS FILE	2033	1
rxn00433	Sarcosine oxidase alpha subunit (EC 1.5.3.1)	NONE	CHRIS FILE	2033	1
rxn00433	Sarcosine oxidase beta subunit (EC 1.5.3.1)	NONE	CHRIS FILE	2033	1
rxn00433	Sarcosine oxidase gamma subunit	NONE	CHRIS FILE	2033	1
rxn01737	Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	NONE	Hope|MATT FILE|CHRIS FILE	80	1
rxn05544	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn05544	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn05544	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn05544	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn05544	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn05544	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn05544	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn05544	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn05544	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn05544	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn05544	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn05544	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn05391	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)	NONE	CHRIS FILE	87	1
rxn03061	2-methylisocitrate dehydratase (EC 4.2.1.99)	NONE	Hope|MATT FILE|CHRIS FILE	88	1
rxn09313	Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn09313	Anaerobic dimethyl sulfoxide reductase chain C (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn09313	Anaerobic dimethyl sulfoxide reductase chain A (EC 1.8.99.-)	NONE	CHRIS FILE	1683	1
rxn05549	Ribose ABC transport system, periplasmic ribose-binding protein RbsB (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05549	Ribose ABC transport system, ATP-binding protein RbsA (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05549	Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05549	Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	NONE	CHRIS FILE	89	1
rxn05330	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	NONE	Hope|MATT FILE|CHRIS FILE	92	1
rxn05330	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	NONE	Hope|MATT FILE	100041	1
rxn03910	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03910	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03910	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03910	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	NONE	Hope|MATT FILE|CHRIS FILE	95	1
rxn03492	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	NONE	Hope|MATT FILE	100042	1
rxn08258	Carnitinyl-CoA dehydratase (EC 4.2.1.-)	NONE	CHRIS FILE	1683	1
rxn05616	Magnesium transporter	NONE	CHRIS FILE	1643	1
rxn05616	Magnesium and cobalt transport protein CorA	NONE	CHRIS FILE	1644	1
rxn04713	Acetoacetyl-CoA transferase, alpha subunit (EC 2.8.3.8)	NONE	CHRIS FILE	108	1
rxn04713	Acetoacetyl-CoA transferase, beta subunit (EC 2.8.3.8)	NONE	CHRIS FILE	108	1
rxn00816	Beta-galactosidase small subunit (EC 3.2.1.23)	NONE	Hope|MATT FILE	100043	1
rxn00816	Beta-galactosidase (EC 3.2.1.23)	NONE	Hope|MATT FILE|CHRIS FILE	106	1
rxn00816	Beta-galactosidase (EC 3.2.1.23)	Galactosylceramide_and_Sulfatide_metabolism	Hope|MATT FILE|CHRIS FILE	106	1
rxn00816	Beta-galactosidase (EC 3.2.1.23)	NONE	Hope|MATT FILE|CHRIS FILE	106	1
rxn00816	Beta-galactosidase large subunit (EC 3.2.1.23)	NONE	Hope|MATT FILE	100044	1
rxn02345	3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	Polyhydroxybutyrate_metabolism	Hope|MATT FILE|MATT FILE	100045	1
rxn02345	3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)	NONE	Hope|MATT FILE|MATT FILE	100046	1
rxn01134	Trehalose synthase (EC 5.4.99.16)	NONE	Hope|MATT FILE	100047	1
rxn00520	Succinyl-CoA ligase [GDP-forming] beta chain (EC 6.2.1.4)	NONE	Hope|MATT FILE	100048	1
rxn08527	Fumarate reductase subunit C	NONE	CHRIS FILE	1680	1
rxn08527	Succinate dehydrogenase hydrophobic membrane anchor protein	NONE	CHRIS FILE	1680	1
rxn08527	Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)	NONE	CHRIS FILE	2029	1
rxn08527	Succinate dehydrogenase cytochrome b558 subunit	NONE	CHRIS FILE	1680	1
rxn08527	Succinate dehydrogenase cytochrome b-556 subunit	NONE	CHRIS FILE	1680	1
rxn08527	Fumarate reductase subunit D	NONE	CHRIS FILE	1680	1
rxn08527	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	NONE	CHRIS FILE	1680	1
rxn08527	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	NONE	CHRIS FILE|CHRIS FILE	2000	1
rxn08527	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	NONE	CHRIS FILE|CHRIS FILE	2029	1
rxn12848	Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	NONE	CHRIS FILE	3007	1
rxn12848	Dipeptide transport ATP-binding protein DppF (TC 3.A.1.5.2)	NONE	CHRIS FILE	3005	1
rxn12848	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3000	1
rxn12848	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	NONE	CHRIS FILE|CHRIS FILE	3004	1
rxn12848	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	NONE	CHRIS FILE	3003	1
rxn12848	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	NONE	CHRIS FILE	3008	1
rxn12848	oligopeptide ABC transporter, ATP-binding protein (oppF)	NONE	CHRIS FILE	3011	1
rxn12848	Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	NONE	CHRIS FILE	3009	1
rxn12848	Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	NONE	CHRIS FILE	3010	1
rxn12848	Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)	NONE	CHRIS FILE	3001	1
rxn12848	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	NONE	CHRIS FILE	3002	1
rxn12848	Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	NONE	CHRIS FILE	3006	1
rxn08471	Alkanesulfonate monooxygenase (EC 1.14.14.5)	NONE	CHRIS FILE	116	1
rxn00369	Uridine kinase (EC 2.7.1.48) [C1]	NONE	CHRIS FILE	117	1
rxn00369	Uridine kinase (EC 2.7.1.48)	NONE	Hope|MATT FILE	100049	1
rxn02212	3-dehydroquinate synthase 2	NONE	Hope	100050	0
rxn02212	3-dehydroquinate synthase (EC 4.2.3.4)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	118	1
rxn02212	3-dehydroquinate synthase (EC 4.2.3.4)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	118	1
rxn02212	3,7-dideoxy-D-threo-hepto-2, 6-diulosonate synthase (EC 4.2.3.-)	NONE	MATT FILE	100051	1
rxn03419	GTP cyclohydrolase I (EC 3.5.4.16) type 1	NONE	Hope|MATT FILE|MATT FILE	100052	1
rxn03419	GTP cyclohydrolase I (EC 3.5.4.16) type 1	NONE	Hope|MATT FILE|MATT FILE	100053	1
rxn03419	GTP cyclohydrolase I (EC 3.5.4.16) type 2	NONE	Hope|MATT FILE	100054	1
rxn05408	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	NONE	CHRIS FILE	119	1
rxn02160	Histidinol-phosphatase [alternative form] (EC 3.1.3.15)	NONE	Hope|MATT FILE	100055	1
rxn02160	Histidinol-phosphatase (EC 3.1.3.15)	XXBOB	Hope|MATT FILE|CHRIS FILE	122	1
rxn02160	Histidinol-phosphatase (EC 3.1.3.15)	NONE	Hope|MATT FILE|CHRIS FILE	122	1
rxn10125	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2)	NONE	CHRIS FILE	3073	1
rxn10125	Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)	NONE	CHRIS FILE	3074	1
rxn10125	NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2)	NONE	CHRIS FILE	3073	1
rxn10295	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase (EC 2.7.8.12)	NONE	CHRIS FILE	2023	1
rxn02733	Protoporphyrin IX Mg-chelatase subunit H (EC 6.6.1.1)	NONE	Hope|MATT FILE	100056	1
rxn02733	Protoporphyrin IX Mg-chelatase subunit D (EC 6.6.1.1)	NONE	Hope|MATT FILE	100057	1
rxn02733	Protoporphyrin IX Mg-chelatase subunit I (EC 6.6.1.1)	NONE	Hope|MATT FILE	100058	1
rxn05614	Methionine ABC transporter substrate-binding protein	NONE	CHRIS FILE	128	1
rxn05614	Methionine ABC transporter ATP-binding protein	NONE	CHRIS FILE	128	1
rxn05614	Methionine ABC transporter permease protein	NONE	CHRIS FILE	128	1
rxn03052	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)	NONE	Hope|MATT FILE|CHRIS FILE	1058	1
rxn09692	Choline-glycine betaine transporter	NONE	CHRIS FILE	3070	1
rxn09692	High-affinity choline uptake protein BetT	NONE	CHRIS FILE	3069	1
rxn01685	Acetoin (diacetyl) reductase (EC 1.1.1.5)	NONE	Hope|MATT FILE	100059	1
rxn10304	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52)	NONE	CHRIS FILE	2024	1
rxn00497	Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	NONE	Hope|MATT FILE	100060	1
rxn00577	Sucrose phosphorylase (EC 2.4.1.7)	NONE	Hope|MATT FILE	100061	1
rxn05557	Iron(III) dicitrate transport protein FecA	NONE	CHRIS FILE	3046	1
rxn05557	Iron(III) dicitrate transport system, periplasmic iron-binding protein FecB (TC 3.A.1.14.1)	NONE	CHRIS FILE	3045	1
rxn05557	Iron(III) dicitrate transport system permease protein FecD (TC 3.A.1.14.1)	NONE	CHRIS FILE	132	1
rxn05557	Iron(III) dicitrate transport ATP-binding protein FecE (TC 3.A.1.14.1)	NONE	CHRIS FILE	133	1
rxn00883	Myo-inositol-1(or 4)-monophosphatase (EC 3.1.3.25)	NONE	Hope	100062	0
rxn00883	Inositol-1-monophosphatase (EC 3.1.3.25)	NONE	MATT FILE|CHRIS FILE	134	1
rxn01923	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	NONE	Hope|MATT FILE|CHRIS FILE	135	1
rxn00248	Malate dehydrogenase (EC 1.1.1.37), mitochondrial precursor	NONE	Hope|MATT FILE	100063	1
rxn00248	Malate dehydrogenase (EC 1.1.1.37)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	139	1
rxn00248	Malate dehydrogenase (EC 1.1.1.37)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	139	1
rxn00248	Malate dehydrogenase (EC 1.1.1.37)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	139	1
rxn00248	Malate dehydrogenase (EC 1.1.1.37), chloroplast precursor	NONE	Hope|MATT FILE	100064	1
rxn00248	Putative malate dehydrogenase (EC 1.1.1.37), similar to archaeal MJ1425	NONE	Hope|MATT FILE	100065	1
rxn00248	Malate dehydrogenase (EC 1.1.1.37), peroxisomal	NONE	Hope|MATT FILE	100066	1
rxn05734	Aldehyde dehydrogenase (EC 1.2.1.3)	NONE	CHRIS FILE	145	1
rxn01302	Homoserine dehydrogenase (EC 1.1.1.3)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	144	1
rxn01302	Homoserine dehydrogenase (EC 1.1.1.3)	NONE	Hope|MATT FILE|MATT FILE|CHRIS FILE	144	1
rxn05422	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	NONE	CHRIS FILE	159	1
rxn00979	Aldehyde dehydrogenase (EC 1.2.1.3)	NONE	CHRIS FILE	154	0
rxn00979	Glycolaldehyde dehydrogenase (EC 1.2.1.21)	NONE	Hope|MATT FILE	100067	1
rxn05448	Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	NONE	CHRIS FILE	163	1
rxn00048	Riboflavin synthase archaeal (EC 2.5.1.9)	NONE	Hope|MATT FILE	100068	1
rxn00048	Riboflavin synthase alpha chain (EC 2.5.1.9)	NONE	Hope|MATT FILE|CHRIS FILE	164	1
rxn07584	Lipoate-protein ligase A	NONE	CHRIS FILE	168	1
rxn05217	Anaerobic C4-dicarboxylate transporter DcuB	NONE	CHRIS FILE	2043	1
rxn05217	Proton/aspartate symport protein	NONE	CHRIS FILE	2043	1
rxn03164	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D- alanyl ligase (EC 6.3.2.10)	Peptidoglycan_Biosynthesis	Hope	100069	0
rxn03164	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D- alanyl ligase (EC 6.3.2.10)	Peptidoglycan_Biosynthesis_2	Hope	100070	0
rxn03164	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	Peptidoglycan_Biosynthesis_2	MATT FILE|CHRIS FILE	171	1
rxn05298	Proton/sodium-glutamate symport protein	NONE	CHRIS FILE	2044	1
rxn05298	Sodium/glutamate symporter	NONE	CHRIS FILE	3041	1
rxn05298	Sodium/glutamate symport protein	NONE	CHRIS FILE	3042	1
rxn05298	\Sodium/glutamate symport protein	NONE	CHRIS FILE	2045	1
rxn03906	Salicylate hydroxylase (EC 1.14.13.1)	NONE	CHRIS FILE	175	1
rxn00879	Myo-inositol 2-dehydrogenase (EC 1.1.1.18)	NONE	Hope|MATT FILE|CHRIS FILE	176	1
